,Кредит,Дебет, Дүн ,,,,,Дебет, Дүн 
37,110102 - Соёлоогийн данс /406191289/,310201 - Цалингийн өглөг," 227,628,632.39 ",,,,,100102 - Касс дахь мөнгө /Gold's/," 1,701,400.00 "
38,110102 - Соёлоогийн данс /406191289/,310401 - ХХОАТ - ын өглөг," 37,723,300.49 ",,,,,100101 - Касс дахь мөнгө /Дэлгүүр/," 1,584,500.00 "
39,110102 - Соёлоогийн данс /406191289/,310501 - НДШ - ийн өглөг," 106,987,403.18 ",,,,,710701 - Мэргэжлийн үйлчилгээний зардал," 1,470,000.00 "
40,110102 - Соёлоогийн данс /406191289/,310601 - НӨАТ - ын өглөг," 1,454.54 ",,,,,700801 - Сургалтын  зардал," 1,450,000.00 "
41,110102 - Соёлоогийн данс /406191289/,311101 - Бусад богино хугацаат өр төлбөр," 57,621,110.00 ",,,,,712601 - Бусад зардал," 1,300,192.42 "
42,110102 - Соёлоогийн данс /406191289/,340104 - Бусад урт хугацаат өр төлбөр," 131,182,675.02 ",,,,,711201 - Засварын зардал," 1,191,363.63 "
43,110102 - Соёлоогийн данс /406191289/,"700301 - Албан татвар, төлбөр, хураамжийн зардал"," 234,206.84 ",,,,,701802 - Масло тосны зардал," 908,818.18 "
44,110102 - Соёлоогийн данс /406191289/,700601 - Шуудан холбооны зардал," 12,076,482.73 ",,,,,712101 - Хангамжын материалын зардал," 590,000.00 "
45,110102 - Соёлоогийн данс /406191289/,700701 - Мэргэжлийн үйлчилгээний зардал," 10,292,713.63 ",,,,,701701 - Тээврийн зардал," 442,636.36 "
46,110102 - Соёлоогийн данс /406191289/,700801 - Сургалтын  зардал," 1,450,000.00 ",,,,,702101 - Хангамжын материалын зардал," 424,136.36 "
47,110102 - Соёлоогийн данс /406191289/,700901 - Сонин сэтгүүл захиалгын  зардал," 27,272.73 ",,,,,880201 - Ханшийн зөрүүний бодит бус гарз," 348,284.98 "
48,110102 - Соёлоогийн данс /406191289/,701101 - Ашиглалтын зардал," 4,505,237.69 ",,,,,703501 - ХЧТА тэтгэмжийн зардал," 325,567.00 "
49,110102 - Соёлоогийн данс /406191289/,701201 - Засварын зардал," 2,212,318.17 ",,,,,120301 - НДШ - ийн авлага," 325,566.00 "
50,110102 - Соёлоогийн данс /406191289/,701701 - Тээврийн зардал," 442,636.36 ",,,,,"700301 - Албан татвар, төлбөр, хураамжийн зардал"," 259,299.08 "
51,110102 - Соёлоогийн данс /406191289/,701801 - Шатахууны зардал," 157,788.94 ",,,,,703201 - АТБӨЯТХ - ийн татварын зардал," 178,500.00 "
52,110102 - Соёлоогийн данс /406191289/,701802 - Масло тосны зардал," 740,818.18 ",,,,,701801 - Шатахууны зардал," 157,788.94 "
53,110102 - Соёлоогийн данс /406191289/,701901 - Хүлээн авалтын зардал," 2,745,996.22 ",,,,,711601 - Цэвэрлэгээ үйлчилгээний зардал," 109,090.90 "
54,110102 - Соёлоогийн данс /406191289/,702101 - Хангамжын материалын зардал," 404,136.36 ",,,,,"710301 - Албан татвар, төлбөр, хураамжийн зардал"," 56,714.22 "
55,110102 - Соёлоогийн данс /406191289/,702201 - Хүүгийн зардал," 487,000.00 ",,,,,700901 - Сонин сэтгүүл захиалгын  зардал," 27,272.73 "
56,110102 - Соёлоогийн данс /406191289/,702301 - Бүтээгдэхүүн хөгжүүлэлтийн зардал," 7,994,963.64 ",,,,,310601 - НӨАТ - ын өглөг," 1,454.54 "
57,110102 - Соёлоогийн данс /406191289/,702401 - Бага үнэтэй түргэн элэгдэх зүйлсийн зардал," 8,361,727.27 ",,,,,НИЙТ," 4,331,877,805.00 "
58,110102 - Соёлоогийн данс /406191289/,702701 - Банкны шимтгэлийн зардал," 1,767,593.50 ",,,,,,
59,110102 - Соёлоогийн данс /406191289/,702801 - Бусад зардал," 1,642,766.35 ",,,,,,
60,110102 - Соёлоогийн данс /406191289/,703201 - АТБӨЯТХ - ийн татварын зардал," 178,500.00 ",,,,,,
61,110102 - Соёлоогийн данс /406191289/,703501 - ХЧТА тэтгэмжийн зардал," 325,567.00 ",,,,,,
62,110102 - Соёлоогийн данс /406191289/,"710301 - Албан татвар, төлбөр, хураамжийн зардал"," 55,284.22 ",,,,,,
63,110102 - Соёлоогийн данс /406191289/,710601 - Шуудан холбооны зардал," 5,355,986.31 ",,,,,,
64,110102 - Соёлоогийн данс /406191289/,710701 - Мэргэжлийн үйлчилгээний зардал," 1,470,000.00 ",,,,,,
65,110102 - Соёлоогийн данс /406191289/,711101 - Ашиглалтын зардал," 1,836,779.64 ",,,,,,
66,110102 - Соёлоогийн данс /406191289/,711201 - Засварын зардал," 1,191,363.63 ",,,,,,
67,110102 - Соёлоогийн данс /406191289/,711401 - Түрээсийн зардал," 62,567,999.98 ",,,,,,
68,110102 - Соёлоогийн данс /406191289/,711601 - Цэвэрлэгээ үйлчилгээний зардал," 109,090.90 ",,,,,,
69,110102 - Соёлоогийн данс /406191289/,712001 - Зар сурталчилгааны зардал," 6,845,818.18 ",,,,,,
70,110102 - Соёлоогийн данс /406191289/,712301 - Бусдаар гүйцэтгүүлсэн ажил үйлчилгээний зардал," 4,282,090.91 ",,,,,,
71,110102 - Соёлоогийн данс /406191289/,712401 - Бага үнэтэй түргэн элэгдэх зүйлсийн зардал," 3,963,959.08 ",,,,,,
72,110102 - Соёлоогийн данс /406191289/,712601 - Бусад зардал," 1,228,981.82 ",,,,,,
73,110102 - Соёлоогийн данс /406191289/,"870601 - Алданги, торгуулийн зардал"," 2,000,000.00 ",,,,,,
74,110102 - Соёлоогийн данс /406191289/,870901 - Баримтаар нотлогдохгүй байгаа зардал," 67,809,459.52 ",,,,,,
75,110102 - Соёлоогийн данс /406191289/,880101 - Ханшийн зөрүүний бодит гарз," 19,046,256.69 ",,,,,,
76,110103 - Дэлгүүрийн данс /406150539/,310101 - Дансны өглөг," 24,625,652.85 ",,,,,,
77,110103 - Дэлгүүрийн данс /406150539/,340104 - Бусад урт хугацаат өр төлбөр," 1,803,411.69 ",,,,,,
78,110103 - Дэлгүүрийн данс /406150539/,"700301 - Албан татвар, төлбөр, хураамжийн зардал"," 2,543.16 ",,,,,,
79,110103 - Дэлгүүрийн данс /406150539/,702201 - Хүүгийн зардал," 9,674,278.66 ",,,,,,
80,110103 - Дэлгүүрийн данс /406150539/,702701 - Банкны шимтгэлийн зардал," 370,848.10 ",,,,,,
81,110103 - Дэлгүүрийн данс /406150539/,"710301 - Албан татвар, төлбөр, хураамжийн зардал", 424.84 ,,,,,,
82,110103 - Дэлгүүрийн данс /406150539/,712601 - Бусад зардал," 71,011.10 ",,,,,,
83,110103 - Дэлгүүрийн данс /406150539/,870901 - Баримтаар нотлогдохгүй байгаа зардал," 29,670.00 ",,,,,,
84,110104 - Дэлгүүрийн ПОС /490015688/,100101 - Касс дахь мөнгө /Дэлгүүр/," 205,000.00 ",,,,,,
85,110104 - Дэлгүүрийн ПОС /490015688/,702701 - Банкны шимтгэлийн зардал," 2,642,009.15 ",,,,,,
86,110105 - Gold's данс /406150540/,100102 - Касс дахь мөнгө /Gold's/," 8,000.00 ",,,,,,
87,110105 - Gold's данс /406150540/,"700301 - Албан татвар, төлбөр, хураамжийн зардал", 784.61 ,,,,,,
88,110105 - Gold's данс /406150540/,702201 - Хүүгийн зардал," 305,723.79 ",,,,,,
89,110105 - Gold's данс /406150540/,702701 - Банкны шимтгэлийн зардал," 49,312.00 ",,,,,,
90,110105 - Gold's данс /406150540/,"710301 - Албан татвар, төлбөр, хураамжийн зардал", 541.85 ,,,,,,
91,110105 - Gold's данс /406150540/,712601 - Бусад зардал, 199.50 ,,,,,,
92,110105 - Gold's данс /406150540/,870901 - Баримтаар нотлогдохгүй байгаа зардал," 30,918.00 ",,,,,,
93,110106 - Gold's ПОС /490029281/,702701 - Банкны шимтгэлийн зардал," 3,418,358.25 ",,,,,,
94,110107 - ХТ данс /406150538/,340104 - Бусад урт хугацаат өр төлбөр," 3,528,714.41 ",,,,,,
95,110107 - ХТ данс /406150538/,"700301 - Албан татвар, төлбөр, хураамжийн зардал"," 9,603.19 ",,,,,,
96,110107 - ХТ данс /406150538/,702701 - Банкны шимтгэлийн зардал," 37,000.00 ",,,,,,
97,110107 - ХТ данс /406150538/,"710301 - Албан татвар, төлбөр, хураамжийн зардал", 416.68 ,,,,,,
98,110108 - Картын данс /432018142/,702701 - Банкны шимтгэлийн зардал," 40,000.00 ",,,,,,
99,110108 - Картын данс /432018142/,870901 - Баримтаар нотлогдохгүй байгаа зардал," 37,946,338.13 ",,,,,,
100,110109 - ХТ Данс 2 /406172451/,340104 - Бусад урт хугацаат өр төлбөр," 1,897.52 ",,,,,,
101,110109 - ХТ Данс 2 /406172451/,"700301 - Албан татвар, төлбөр, хураамжийн зардал"," 1,013.65 ",,,,,,
102,110109 - ХТ Данс 2 /406172451/,702701 - Банкны шимтгэлийн зардал," 27,000.00 ",,,,,,
103,110109 - ХТ Данс 2 /406172451/,"710301 - Албан татвар, төлбөр, хураамжийн зардал", 46.63 ,,,,,,
104,110110 - Харилцах капитрон,120101 - Дансны авлага," 4,307,462.12 ",,,,,,
105,110111 - Харилцах Хас MN860032005003135761,702701 - Банкны шимтгэлийн зардал," 93,915.00 ",,,,,,
106,110201 - Үндсэн данс EUR /432017133/,120102 - Дансны авлага /Евро/," 770,797,948.65 ",,,,,,
107,110201 - Үндсэн данс EUR /432017133/,310101 - Дансны өглөг," 25,115,726.45 ",,,,,,
108,110201 - Үндсэн данс EUR /432017133/,310102 - Дансны өглөг /Евро/," 944,762,810.79 ",,,,,,
109,110201 - Үндсэн данс EUR /432017133/,340104 - Бусад урт хугацаат өр төлбөр," 19,617,947.48 ",,,,,,
110,110201 - Үндсэн данс EUR /432017133/,"700301 - Албан татвар, төлбөр, хураамжийн зардал"," 1,677.51 ",,,,,,
111,110201 - Үндсэн данс EUR /432017133/,702701 - Банкны шимтгэлийн зардал," 7,095,509.50 ",,,,,,
112,110201 - Үндсэн данс EUR /432017133/,870901 - Баримтаар нотлогдохгүй байгаа зардал," 1,544,714.33 ",,,,,,
113,110201 - Үндсэн данс EUR /432017133/,880101 - Ханшийн зөрүүний бодит гарз," 24,122,534.35 ",,,,,,
114,110201 - Үндсэн данс EUR /432017133/,880201 - Ханшийн зөрүүний бодит бус гарз," 348,284.98 ",,,,,,
115,110202 - Капитрон EUR,120101 - Дансны авлага," 86,865.66 ",,,,,,
116,Нийт,," 4,331,877,805.00 ",,,,,,
